Molecule ChEMBL ID,Smiles,Molecular Weight,#RO5 Violations,Standard Type,Standard Value,Standard Units,Bioactivity Class
CHEMBL1200374,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,296.41,0.0,IC50,50.1,nM,Active
CHEMBL1784803,COc1cc2c(cc1-c1cncn1CCCn1ccnc1C)OCCCO2.Cl,404.9,0.0,IC50,498.0,nM,Intermediate
CHEMBL1784807,COc1ccc(S(=O)(=O)NCCCn2ccnc2)cc1C,309.39,0.0,IC50,61.6,nM,Active
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,273.38,0.0,IC50,120.0,nM,Intermediate
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,0.0,IC50,10000.0,nM,Inactive
CHEMBL1303900,Cc1cc(C)c(S(=O)(=O)NCCCn2ccnc2)cc1C,307.42,0.0,IC50,172.0,nM,Intermediate
CHEMBL3407538,C=C1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,298.43,0.0,IC50,250.0,nM,Intermediate
CHEMBL3407537,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,312.41,0.0,IC50,810.0,nM,Intermediate
CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,351.21,0.0,IC50,7.7,nM,Active
CHEMBL177921,N#Cc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,221.26,0.0,IC50,119.0,nM,Intermediate
CHEMBL74339,CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,302.5,1.0,IC50,1.3,nM,Active
CHEMBL325346,N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1,370.39,0.0,IC50,39.0,nM,Active
CHEMBL383807,Clc1ccc2c(c1)CC/C2=C\c1cccnc1,241.72,0.0,IC50,4260.0,nM,Inactive
CHEMBL53290,C1=C(CCCn2ccnc2)c2cccnc2CC1,239.32,0.0,IC50,220.0,nM,Intermediate
CHEMBL3421765,O=[N+]([O-])c1ccc(-c2cccnc2)c(OCc2ccccc2)c1,306.32,0.0,IC50,146.0,nM,Intermediate
CHEMBL185950,O=c1c(-c2ccc(O)cc2)c(SCc2ccncc2)oc2cc(O)ccc12,377.42,0.0,IC50,280.0,nM,Intermediate
CHEMBL2113619,C[C@]12CCC(=O)C(SCC#N)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,357.52,0.0,IC50,3700.0,nM,Inactive
CHEMBL189170,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccccc3)oc2c1,374.46,1.0,IC50,100000.0,nM,Inactive
CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,288.43,0.0,IC50,6900.0,nM,Inactive
CHEMBL255108,N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,299.33,0.0,IC50,1540.0,nM,Inactive
CHEMBL202612,COc1ccc2cc(C(O)(c3ccc(Cl)cc3)c3cccnc3)oc2c1,365.82,0.0,IC50,49.0,nM,Active
CHEMBL382902,COc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,339.78,0.0,IC50,44.0,nM,Active
CHEMBL202020,COc1ccc(C(O)(c2cccnc2)c2cc3ccc(OC)cc3o2)cc1,361.4,0.0,IC50,160.0,nM,Intermediate
CHEMBL197576,COc1ccc2cc(-c3cccnc3)ccc2c1Cl,269.73,0.0,IC50,1805.0,nM,Inactive
CHEMBL195571,Oc1ccc2cc(-c3cccnc3)ccc2c1,221.26,0.0,IC50,36000.0,nM,Inactive
CHEMBL266532,CCCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,368.56,1.0,IC50,280.0,nM,Intermediate
CHEMBL193343,CCOc1ccc2cc(-c3cccnc3)ccc2c1,249.31,0.0,IC50,6638.0,nM,Inactive
CHEMBL26279,COc1ccc2c(c1)CC(Cc1ccncc1)C2=O,253.3,0.0,IC50,3400.0,nM,Inactive
CHEMBL440832,CCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,354.53,1.0,IC50,54.0,nM,Active
CHEMBL1824751,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cc(COc3ccc([N+](=O)[O-])cc3)nn2)cc1,436.43,0.0,IC50,7730.0,nM,Inactive
CHEMBL1824752,Cc1ccc(OCc2cn(C(c3ccc(C#N)cc3)c3ccc(C#N)cc3)nn2)cc1,405.46,0.0,IC50,10950.0,nM,Inactive
CHEMBL1824756,CCCc1cn(C(c2ccccc2)c2ccccc2)nn1,277.37,0.0,IC50,10960.0,nM,Inactive
CHEMBL1824760,c1ccc(C(c2ccccc2)n2cc(C3CCCCC3)nn2)cc1,317.44,0.0,IC50,13720.0,nM,Inactive
CHEMBL1824762,c1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,341.41,0.0,IC50,31260.0,nM,Inactive
CHEMBL1825022,N#Cc1ccc(C(c2ccc(C#N)cc2)n2nccn2)cc1,285.31,0.0,IC50,79980.0,nM,Inactive
CHEMBL203869,CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,288.33,0.0,IC50,2810.0,nM,Inactive
CHEMBL202473,CN(c1ccc([N+](=O)[O-])cc1OC1CCCC1)S(C)(=O)=O,314.36,0.0,IC50,440.0,nM,Intermediate
CHEMBL3349856,C[C@]12CCC[C@@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,288.43,0.0,IC50,860.0,nM,Intermediate
CHEMBL1173573,COc1cccc(/C=C/c2ccc(N)cc2)c1,225.29,0.0,IC50,3080.0,nM,Inactive
CHEMBL1171091,Nc1ccc(/C=C/c2cc(N)cc(N)c2)cc1,225.29,0.0,IC50,8510.0,nM,Inactive
CHEMBL162549,O=C(Cn1ccnc1)c1ccc([N+](=O)[O-])cc1,231.21,0.0,IC50,190.0,nM,Intermediate
CHEMBL432751,C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(c3cccnc3)=CCC12,347.5,1.0,IC50,1800.0,nM,Inactive
CHEMBL72228,CC(=O)O[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,330.47,0.0,IC50,0.16,nM,Active
CHEMBL72415,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,342.57,1.0,IC50,12.0,nM,Active
CHEMBL1215664,Oc1ccc(-c2ccc(C(O)c3ccncc3)cc2)cc1,277.32,0.0,IC50,3070.0,nM,Inactive
CHEMBL165279,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCS)C1CCC2=O,390.61,1.0,IC50,1000.0,nM,Intermediate
CHEMBL3084924,CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3,285.39,0.0,IC50,10800.0,nM,Inactive
CHEMBL2165316,CCOc1cc2c(cc1-c1cccnc1)CCC(=O)N2,268.32,0.0,IC50,488.0,nM,Intermediate
CHEMBL62811,O=C1CCc2cc(-c3cccnc3)ccc2N1,224.26,0.0,IC50,5000.0,nM,Inactive
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,285.31,0.0,IC50,2.0,nM,Active
CHEMBL24897,CC12CCC3C(C[C@@H](Cc4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,376.54,1.0,IC50,4000.0,nM,Inactive
CHEMBL1957213,COc1ccc(-c2nc(-c3cccnc3)cs2)cc1,268.34,0.0,IC50,18000.0,nM,Inactive
CHEMBL459503,Oc1cc2c(cc1C(c1ccc3c(c1)OCO3)n1ccnc1)OCO2,338.32,0.0,IC50,24.9,nM,Active
CHEMBL495566,c1ccc(-c2cc(-c3cccnc3)nc(-c3cccnc3)c2)cc1,309.37,0.0,IC50,46700.0,nM,Inactive
CHEMBL523232,O=[N+]([O-])c1ccc2c(c1)nc(-c1ccccn1)n2CCc1ccncc1,345.36,0.0,IC50,2100.0,nM,Inactive
CHEMBL209731,N#Cc1ccc(-c2oc3ccccc3c(=O)c2Cn2ccnc2)cc1,327.34,0.0,IC50,69.0,nM,Active
CHEMBL188664,O=c1c(-c2ccccc2)c(SCc2ccncc2)oc2cc(OCc3ccccc3)ccc12,451.55,1.0,IC50,210.0,nM,Intermediate
CHEMBL57513,C(\Cn1ccnc1)=C1\CCCc2sccc21,230.34,0.0,IC50,680.0,nM,Intermediate
CHEMBL185950,O=c1c(-c2ccc(O)cc2)c(SCc2ccncc2)oc2cc(O)ccc12,377.42,0.0,IC50,280.0,nM,Intermediate
CHEMBL2420684,Oc1cncc(-c2ccc3ccc(O)cc3c2Cl)c1,271.7,0.0,IC50,2000.0,nM,Inactive
CHEMBL225447,c1ccc2c(c1)-c1ccccc1C2n1ccnc1,232.29,0.0,IC50,2800.0,nM,Inactive
CHEMBL438549,COc1ccc2c(c1)CCC1C(c3cnc[nH]3)C21,240.31,0.0,IC50,1600.0,nM,Inactive
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,0.0,IC50,1700.0,nM,Inactive
CHEMBL31224,N#Cc1ccc2c(c1)CCC=C2n1ccnc1,221.26,0.0,IC50,2.9,nM,Active
CHEMBL2430506,O=S(=O)(NCCc1ccccc1)c1ccc(-n2cc(COc3ccccc3)nn2)cc1,434.52,0.0,IC50,9400.0,nM,Inactive
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,531.44,1.0,IC50,2600.0,nM,Inactive
CHEMBL73219,CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,344.58,1.0,IC50,50.0,nM,Active
CHEMBL3623209,C[C@@H]1OC(=O)C[C@H]2[C@@H]3CC=C4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,318.46,0.0,IC50,250.0,nM,Intermediate
CHEMBL3623223,C=CC[C@@H]1CC2=CC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,324.46,0.0,IC50,470.0,nM,Intermediate
CHEMBL2179110,CCC#CCO[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,366.5,0.0,IC50,12.0,nM,Active
CHEMBL3623225,CCn1cc(C(c2ccccc2)n2ccnc2)c2ccccc21,301.39,0.0,IC50,100.0,nM,Intermediate
CHEMBL3623229,CCc1nc(C)cn1Cc1ccccc1CC(=O)O,258.32,0.0,IC50,6200.0,nM,Inactive
CHEMBL421149,N#Cc1ccc(Cn2ccnc2)c2oc3ccccc3c(=O)c12,301.31,0.0,IC50,43.0,nM,Active
CHEMBL3623232,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2F)n2ccnc2)cc1,387.4,0.0,IC50,0.2,nM,Active
CHEMBL3623221,C[C@]12CC[C@@H]3c4ccc(O)c(NC(=O)c5ccncc5)c4CC[C@H]3[C@@H]1CCC2=O,390.48,0.0,IC50,28000.0,nM,Inactive
